time, SerialBuffer[bytes],Frame counter[],Status 1[],Status 2[],Rx byte number[],Rx command number[],Last command 1[],Last command 2[],Last command 3[],Last command 4[],Last command 5[],Last command 6[],Last command 7[],Pump DAC set voltage[V],Reservoir heater on temperature[degC],Reservoir heater off temperature[degC],FPGA board input voltage[V],FPGA board input current[A],TBD1[A],FPGA board temperature[degC],FPGA board pressure[kPa],PW module temperature[degC],Res. Loadcell[V],TBD3[V],RTD temperature 1(Res.)[degC],RTD temperature 2[degC],RTD temperature 3[degC],RTD temperature 4[degC],RTD temperature 5[degC],RTD temperature 6[degC],RTD temperature 7[degC],RTD temperature 8[degC],RTD temperature 9[degC],RTD temperature 10[degC],RTD temperature 11[degC],RTD temperature 12[degC],RTD temperature 13[degC],RTD temperature 14[degC],RTD temperature 15[degC],RTD temperature 16[degC],RTD temperature 17[degC],RTD temperature 18[degC],RTD temperature 19[degC],RTD temperature 20[degC],RTD temperature 21[degC],RTD temperature 22[degC],RTD temperature 23[degC],RTD temperature 24[degC],RTD temperature 25[degC],RTD temperature 26[degC],RTD temperature 27[degC],RTD temperature 28[degC],RTD temperature 29[degC],RTD temperature 30[degC],RTD temperature 31[degC],RTD temperature 32[degC],RTD temperature 33[degC],RTD temperature 34[degC],RTD temperature 35[degC],RTD temperature 36[degC],RTD temperature 37[degC],RTD temperature 38[degC],RTD temperature 39[degC],RTD temperature 40[degC],RTD temperature 41[degC],RTD temperature 42[degC],RTD temperature 43[degC],RTD temperature 44[degC],RTD temperature 45[degC],RTD temperature 46[degC],RTD temperature 47[degC],RTD temperature 48[degC]
2021/04/30 13:00:00.029455 ,0,256658,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.59,0.13,0.00,32.46,99.23,41.25,0.00,0.00,7.98,7.19,9.44,9.44,9.30,9.83,9.70,9.17,9.70,9.96,9.70,9.70,2.08,2.60,2.60,3.91,9.30,9.57,9.17,9.30,9.96,9.57,9.57,9.04,8.77,9.04,9.04,1.82,2.47,2.08,4.43,9.04,9.83,9.57,9.57,9.70,10.50,9.83,10.23,280.66,280.22,280.01,279.79,280.01,280.22,280.22,280.01,280.22
2021/04/30 13:00:01.037295 ,0,256659,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.60,0.13,0.00,32.10,99.21,42.84,0.00,0.00,8.11,7.32,9.44,8.77,9.17,9.83,9.96,9.30,9.57,10.10,9.83,9.83,1.95,2.21,2.47,4.04,8.91,9.44,9.17,9.44,10.10,9.57,9.57,9.04,8.91,9.04,8.64,1.56,2.34,2.21,4.69,9.17,9.83,9.96,9.83,9.44,9.96,9.70,10.36,280.66,280.22,280.22,280.01,280.01,280.22,280.44,280.22,280.01
2021/04/30 13:00:02.016444 ,0,256660,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.62,0.13,0.00,32.10,99.23,42.60,0.00,0.00,8.11,7.19,9.30,9.30,9.30,9.83,9.70,9.17,9.57,9.83,9.70,9.96,2.21,2.34,2.34,3.78,9.17,9.17,9.04,9.44,10.23,9.70,9.44,8.77,9.04,8.91,9.04,1.69,2.47,2.21,4.43,9.17,9.70,9.70,9.83,9.57,10.23,9.70,10.10,280.44,280.01,279.79,279.79,280.01,280.66,280.22,279.79,280.01
2021/04/30 13:00:03.026351 ,0,256661,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.60,0.12,0.00,31.85,99.23,41.38,0.00,0.00,8.11,7.19,9.17,9.17,9.17,9.96,9.96,9.30,9.57,9.96,9.83,9.70,1.95,2.21,2.47,4.04,9.04,9.44,9.44,9.57,10.10,9.30,9.44,9.04,8.77,9.04,9.04,1.56,2.47,2.21,4.56,9.30,9.70,9.83,9.83,9.30,9.96,9.70,10.50,280.88,280.01,280.44,280.01,279.79,280.01,280.22,280.22,280.22
2021/04/30 13:00:04.048402 ,0,256662,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.59,0.13,0.00,32.22,99.18,42.11,0.00,0.00,7.85,7.19,9.57,9.44,9.17,9.70,9.57,9.30,9.30,9.83,9.70,9.83,2.21,2.21,2.34,3.78,9.04,9.30,9.44,9.44,9.96,9.44,9.57,9.17,8.64,9.17,9.30,1.56,2.21,1.95,4.43,9.44,9.44,9.70,9.96,9.70,9.96,9.57,9.96,280.88,280.01,280.66,280.22,280.01,280.01,280.22,280.22,280.44
2021/04/30 13:00:05.059483 ,0,256663,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.59,0.13,0.00,32.46,99.23,41.25,0.00,0.00,7.85,6.93,9.44,9.57,9.44,9.70,9.57,9.17,9.44,9.57,9.57,9.83,2.21,2.34,2.34,3.91,9.04,9.30,9.30,9.04,9.96,9.30,9.44,9.17,8.64,8.91,9.17,1.69,2.21,1.82,4.17,9.30,8.91,9.57,9.83,9.70,10.23,9.70,10.23,280.66,280.01,280.22,280.01,280.01,280.01,279.79,280.01,280.44
2021/04/30 13:00:06.065358 ,0,256664,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.61,0.12,0.00,31.37,99.26,39.79,0.00,0.00,7.85,6.93,9.17,9.44,9.57,9.83,9.57,9.04,9.57,9.70,9.44,9.83,2.08,2.34,2.34,3.91,9.04,9.30,9.30,9.44,10.10,9.30,9.30,9.04,8.64,8.77,9.17,1.69,2.47,1.95,4.17,9.04,9.44,9.17,9.57,9.57,10.23,9.70,10.23,280.66,280.01,280.22,280.01,280.01,280.44,280.01,279.79,280.22
2021/04/30 13:00:07.066249 ,0,256665,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.59,0.12,0.00,31.73,99.26,40.03,0.00,0.00,7.72,6.93,9.30,9.44,9.30,9.70,9.44,9.17,9.44,9.70,9.70,9.83,2.08,2.21,2.47,3.91,9.04,9.44,9.30,9.70,9.83,9.30,9.57,9.17,8.64,8.91,9.30,1.69,2.08,1.43,4.30,9.30,9.57,9.70,9.83,9.57,10.10,9.70,10.36,280.88,280.22,280.44,280.66,279.79,280.01,280.22,280.44,280.44
2021/04/30 13:00:08.049692 ,0,256666,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.61,0.13,0.00,32.10,99.21,42.60,0.00,0.00,7.98,7.19,9.30,9.17,9.04,9.70,9.83,9.44,9.44,9.83,9.70,9.83,2.08,2.21,2.47,3.78,9.17,9.30,9.04,9.30,10.10,9.70,9.44,8.77,8.91,8.91,8.91,1.43,2.21,2.21,4.56,9.17,9.70,9.70,9.70,9.44,9.83,9.57,10.23,280.66,280.22,280.01,279.79,280.01,280.44,280.44,280.01,280.01
2021/04/30 13:00:09.064420 ,0,256667,00000000,00000000,0,0,B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',B'\X00',0.00,-0.00,-0.00,11.59,0.12,0.00,31.24,99.29,40.52,0.00,0.00,7.85,6.80,9.04,9.17,9.30,9.70,9.57,9.04,9.57,9.70,9.70,9.83,2.08,2.08,2.34,4.04,8.77,9.17,9.30,9.57,9.96,9.57,9.17,9.04,8.38,8.77,8.91,1.69,2.34,1.95,4.30,9.04,9.57,9.70,9.70,9.57,9.96,9.57,10.23,281.10,280.01,280.22,280.44,280.01,280.22,280.01,280.22,280.44
